date,influenza
2026-01-04,12.0
2025-12-28,13.0
2025-12-28,14.0
2025-12-21,15.0
2025-12-14,15.0
2025-12-07,19.32
2025-11-30,22.13
2025-11-23,15.53
2025-11-16,10.52
2025-11-09,11.0
2025-11-02,12.78
2025-10-26,11.91
2025-10-19,9.4
2025-10-12,7.4
2025-10-05,6.55
2025-09-28,4.81
2025-09-21,2.72
2025-09-14,1.33
2025-09-07,1.29
2025-08-31,1.05
2025-08-24,1.64
2025-08-17,1.23
2025-08-10,1.0
2025-08-03,1.05
2025-07-27,0.52
2025-07-20,0.85
2025-07-13,0.66
2025-07-06,1.16
2025-06-29,0.57
2025-06-22,1.0
2025-06-15,0.84
2025-06-08,1.05
2025-06-01,0.69
2025-05-25,0.89
2025-05-18,1.19
2025-05-11,1.29
2025-05-04,1.67
2025-04-27,1.62
2025-04-20,2.05
2025-04-13,3.02
2025-04-06,3.91
2025-03-30,4.91
2025-03-23,6.27
2025-03-16,6.52
2025-03-09,7.41
2025-03-02,7.0
2025-02-23,8.94
2025-02-16,10.2
2025-02-09,10.64
2025-02-02,11.8
2025-01-26,13.2
2025-01-19,13.88
2025-01-12,15.31
2025-01-05,17.44
2024-12-29,22.92
2024-12-22,26.39
2024-12-15,21.41
2024-12-08,17.81
2024-12-01,14.58
2024-11-24,10.19
2024-11-17,6.73
2024-11-10,4.36
2024-11-03,2.96
2024-10-27,2.77
2024-10-20,3.02
2024-10-13,2.08
2024-10-06,2.19
2024-09-29,1.71
2024-09-22,1.33
2024-09-15,1.23
2024-09-08,1.07
2024-09-01,0.9
2024-08-25,0.88
2024-08-18,1.01
2024-08-11,1.42
2024-08-04,0.86
2024-07-28,1.31
2024-07-21,1.13
2024-07-14,1.25
2024-07-07,1.18
2024-06-30,0.68
2024-06-23,0.56
2024-06-16,0.81
2024-06-09,0.82
2024-06-02,0.86
2024-05-26,0.78
2024-05-19,0.97
2024-05-12,1.38
2024-05-05,1.87
2024-04-28,2.5
2024-04-21,2.39
2024-04-14,2.23
2024-04-07,2.71
2024-03-31,3.74
2024-03-24,3.81
2024-03-17,4.89
2024-03-10,6.42
2024-03-03,5.77
2024-02-25,6.2
2024-02-18,8.23
2024-02-11,10.9
2024-02-04,12.81
2024-01-28,15.49
2024-01-21,17.6
2024-01-14,13.81
2024-01-07,10.0
2023-12-31,9.74
2023-12-24,11.71
2023-12-17,11.45
2023-12-10,9.59
2023-12-03,6.07
2023-11-26,2.94
2023-11-19,1.97
2023-11-12,1.74
2023-11-05,1.94
2023-10-29,1.55
2023-10-22,1.11
2023-10-15,1.03
2023-10-08,1.1
2023-10-01,1.1
2023-09-24,0.61
2023-09-17,0.83
2023-09-10,1.11
2023-09-03,0.82
2023-08-27,0.53
2023-08-20,0.56
2023-08-13,0.5
2023-08-06,1.1
2023-07-30,0.35
2023-07-23,0.72
2023-07-16,0.73
2023-07-09,0.57
2023-07-02,0.64
2023-06-25,0.34
2023-06-18,0.6
2023-06-11,0.47
2023-06-04,0.49
2023-05-28,0.4
2023-05-21,0.66
2023-05-14,0.41
2023-05-07,0.88
2023-04-30,0.94
2023-04-23,1.06
2023-04-16,0.94
2023-04-09,1.1
2023-04-02,1.62
2023-03-26,1.61
2023-03-19,1.61
2023-03-12,2.19
2023-03-05,2.55
2023-02-26,1.9
2023-02-19,2.37
2023-02-12,2.55
2023-02-05,2.03
2023-01-29,2.66
2023-01-22,3.29
2023-01-15,3.41
2023-01-08,7.08
2023-01-01,14.67
2022-12-25,28.02
2022-12-18,32.64
2022-12-11,29.18
2022-12-04,22.74
2022-11-27,16.45
2022-11-20,12.38
2022-11-13,9.72
2022-11-06,9.32
2022-10-30,7.97
2022-10-23,7.6
2022-10-16,6.24
2022-10-09,5.68
2022-10-02,4.47
2022-09-25,3.14
2022-09-18,2.59
2022-09-11,3.44
2022-09-04,2.51
2022-08-28,1.17
2022-08-21,0.58
2022-08-14,0.88
2022-08-07,1.91
2022-07-31,0.81
2022-07-24,0.53
2022-07-17,0.57
2022-07-10,1.26
2022-07-03,0.7
2022-06-26,0.47
2022-06-19,0.52
2022-06-12,0.53
2022-06-05,1.61
2022-05-29,1.01
2022-05-22,0.86
2022-05-15,1.36
2022-05-08,2.58
2022-05-01,2.01
2022-04-24,2.19
2022-04-17,2.94
2022-04-10,4.77
2022-04-03,5.02
